task,accuracy,f1,precision,recall,roc_auc
clf_ic50nm_median_mi_top20_tuned_stack,0.918081918081918,0.9186507936507936,0.9114173228346456,0.926,0.9729840319361276
clf_cc50mm_median_mi_top20_tuned_stack,0.949050949050949,0.9483282674772036,0.9590163934426228,0.937875751503006,0.9875727550718968
clf_si_median_mi_top20_tuned_stack,0.8331668331668332,0.8367546432062561,0.8183556405353728,0.856,0.9153193612774452
clf_si_gt8,0.6433566433566433,0.0,0.0,0.0,0.4446669972336761
