iter	Logloss
345	0.4211714755
346	0.4206801655
347	0.4204000827
348	0.4198495975
349	0.4193577276
350	0.4188969376
351	0.4183673647
352	0.4178006589
353	0.4173896269
354	0.4170854939
355	0.4168666016
356	0.4164527327
357	0.4162750047
358	0.4159030929
359	0.4155341053
360	0.4150758883
361	0.4149388977
362	0.4144905957
363	0.4141068184
364	0.4136898416
365	0.4133011368
366	0.4129491816
367	0.4126160849
368	0.4123955049
369	0.4120575056
370	0.4118593249
371	0.4116019493
372	0.4112773874
373	0.4108022927
374	0.4104708563
375	0.4102547567
376	0.4098611177
377	0.4092506219
378	0.4090217878
379	0.4087826535
380	0.4082905344
381	0.4079884766
382	0.4075624543
383	0.4071255043
384	0.4068015729
385	0.4064339115
386	0.4060820479
387	0.4056588434
388	0.4052000538
389	0.4047780134
390	0.4045055349
391	0.4041681443
392	0.4038960192
393	0.4036004217
394	0.4031172239
395	0.4027777701
396	0.4023945042
397	0.4021153066
398	0.4016760808
399	0.4012670238
400	0.4009177603
401	0.4006130406
402	0.4003070567
403	0.4000228643
404	0.399588875
405	0.3992567177
406	0.3988882382
407	0.3986117412
408	0.3981878482
409	0.3978709919
410	0.3976774598
411	0.3973058565
412	0.3970438259
413	0.3966344231
414	0.3963523391
415	0.3960634183
416	0.395851539
417	0.3954064527
418	0.3951422412
419	0.3948342521
420	0.3945872651
421	0.3942854306
422	0.3937680809
423	0.3935642705
424	0.3933960308
425	0.3931114905
426	0.3927998479
427	0.3925854441
428	0.3921846317
429	0.392029703
430	0.3916860479
431	0.3914074781
432	0.3910957562
433	0.390833265
434	0.3905171712
435	0.3901593718
436	0.3899255249
437	0.3895898144
438	0.3892839188
439	0.3888327618
440	0.3886714595
441	0.3883781393
442	0.3881402867
443	0.388012528
444	0.3877635524
445	0.387409117
446	0.3871019335
447	0.3865600205
448	0.3862656591
449	0.3860498565
450	0.3857196966
451	0.3854248108
452	0.3851014427
453	0.3848189728
454	0.384466196
455	0.3841430816
456	0.3840148054
457	0.3836855551
458	0.3834481718
459	0.3830194858
460	0.3828006309
461	0.3826199727
462	0.3824323059
463	0.3821375815
464	0.3819282884
465	0.3816205002
466	0.3812264017
467	0.381093844
468	0.3805559931
469	0.380243863
470	0.379932907
471	0.3796507305
472	0.3793602966
473	0.3791700836
3
474	0.3718060117
475	0.3715722451
476	0.371336714
477	0.3711865099
478	0.3709269341
479	0.3706454622
480	0.3702712545
481	0.3699270536
482	0.3697641143
483	0.3693772425
484	0.3692083021
485	0.3687042668
486	0.3684207551
487	0.3681751288
488	0.3679833948
489	0.3677432921
490	0.3676387227
491	0.3673652835
492	0.3671094776
493	0.3668442758
494	0.3666933897
495	0.3665387116
496	0.3662664346
497	0.3659187437
498	0.3656475741
499	0.3653970755
500	0.3650983802
501	0.3646262928
502	0.3644022179
503	0.3640937759
504	0.3638057848
505	0.3635990092
506	0.3633071033
507	0.363001513
508	0.3628472598
509	0.3627119249
510	0.3626112805
511	0.3622224599
512	0.3620718266
513	0.3618282575
514	0.361631441
515	0.3614499116
516	0.361222676
517	0.3609476924
518	0.3607036666
519	0.3604467227
520	0.3598432068
521	0.3595923442
522	0.3592917812
523	0.3592102056
524	0.3589662142
525	0.3586477248
526	0.3584283172
527	0.3583186527
528	0.3578708725
529	0.357668183
530	0.3573706606
531	0.3570535124
532	0.3567590248
533	0.3565403619
534	0.3562658222
535	0.3559775899
536	0.3557190145
537	0.3553646745
538	0.3551209461
539	0.3548292558
540	0.3546971905
541	0.3545041627
542	0.3541977355
543	0.3540631942
544	0.3537884838
545	0.3533742296
546	0.3531808109
547	0.353015339
548	0.3528281723
549	0.352364911
550	0.3520385275
551	0.3518332062
552	0.3514978599
553	0.3512006839
554	0.3508234528
555	0.3506619286
556	0.3504142704
557	0.3502883093
558	0.3500669011
559	0.3498003603
560	0.3494765246
561	0.3491727086
562	0.3489528446
563	0.3488194549
564	0.3486340017
565	0.3484496284
566	0.3483045597
567	0.3480655457
568	0.3479264333
569	0.3475888154
570	0.3472505604
571	0.346981831
572	0.3467762327
573	0.3465936713
574	0.3463306759
575	0.3461979379
576	0.3460211667
577	0.3457972488
578	0.3454163956
579	0.3451648561
580	0.3450303467
581	0.344827453
582	0.3445333757
583	0.3441407586
584	0.3439058034
585	0.3435673371
586	0.3432292002
587	0.343102733
588	0.3428290697
589	0.3425363352
590	0.3423559909
591	0.3420839978
592	0.3418581247
593	0.3415670522
594	0.3412977043
595	0.3410582058
596	0.3408149522
597	0.3406330152
598	0.3404075279
599	0.3402597995
600	0.340060489
38048
602	0.3458314617
603	0.3455814689
604	0.3451856859
605	0.3450354341
606	0.344710637
607	0.3444401608
608	0.3441085298
609	0.343999723
610	0.3437306108
611	0.3434813205
612	0.3433101711
613	0.3431490661
614	0.3429785947
615	0.3427851582
616	0.342614784
617	0.3424729202
618	0.3422771487
619	0.3420107644
620	0.3417750125
621	0.3415202254
622	0.3412860934
623	0.3410207104
624	0.3406785609
625	0.3405354925
626	0.3403866776
627	0.3401916435
628	0.339970952
629	0.3396664133
630	0.3393784663
631	0.339213623
632	0.3390602718
633	0.3388766378
634	0.3385362541
635	0.3384469719
636	0.3382562963
637	0.338077044
638	0.3377186288
639	0.3375008159
3332711038
641	0.3331370027
642	0.3329021395
643	0.3327844095
	0.334447813
645	0.3342211932
646	0.333973228
647	0.3336310469
648	0.3334031339
649	0.3332749187
650	0.3331095883
651	0.332946652
652	0.3326379864
653	0.3323495267
654	0.3321864558
655	0.3319533146
656	0.3317917517
657	0.3316143942
658	0.3314557131
659	0.3312772313
660	0.3310632343
661	0.3308607122
662	0.3306797063
663	0.3304373018
664	0.3301574169
665	0.3299979221
666	0.3298560326
667	0.329396882
668	0.3291777424
669	0.328927741
670	0.3287591547
671	0.3284928574
672	0.3281783664
673	0.3279165197
674	0.3278197035
675	0.3275359599
676	0.3274045432
677	0.327121872
678	0.3269092961
679	0.3267891837
680	0.3266223986
681	0.3263667809
682	0.3260848158
683	0.3258351688
684	0.3257415164
685	0.3254272091
686	0.3252466433
687	0.3250632408
688	0.3248534261
689	0.3246648
690	0.3246157979
691	0.3244061409
