task,r2,rmse,mae
reg_log1p_IC50_nM,0.6579363664102544,1.0414927445449766,0.8226976569668946
reg_log1p_CC50_nM,0.7814168959570665,0.6563789295880028,0.435089242630361
reg_si,0.7001466836349945,0.5867060054203016,0.4588390844953027
