task,accuracy,f1,precision,recall,roc_auc
clf_ic50nm_median,0.8510158013544018,0.8530066815144766,0.916267942583732,0.7979166666666667,0.9255952380952381
clf_cc50nm_median,0.8927765237020316,0.8945615982241953,0.8955555555555555,0.893569844789357,0.9603129699008589
clf_si_median,0.8668171557562077,0.8634259259259259,0.8419864559819413,0.8859857482185273,0.9438868030546829
clf_si_gt8,0.8566591422121896,0.7768014059753954,0.7727272727272727,0.7809187279151943,0.9257862630311341
