iter	Passed	Remaining
511	730	410
512	731	409
513	733	408
514	734	406
515	736	405
516	737	403
517	738	402
518	740	401
519	742	399
520	743	398
521	744	396
522	746	395
523	747	393
524	748	392
525	750	390
526	751	389
527	753	388
528	754	386
529	755	385
530	757	383
531	758	382
532	760	380
533	761	379
534	762	377
535	764	376
536	765	374
537	766	373
538	768	372
539	770	370
540	771	369
541	773	368
542	774	366
543	775	365
544	777	363
545	778	362
546	779	360
547	781	359
548	782	357
549	783	356
550	785	354
551	786	353
552	788	352
553	789	350
554	791	349
555	792	347
556	794	346
557	795	345
558	797	343
559	799	342
560	800	341
561	801	339
562	803	338
563	804	336
564	806	335
565	807	333
566	809	332
567	811	331
568	812	329
569	813	328
570	815	326
571	816	325
572	817	324
573	819	322
574	820	321
575	822	319
576	823	318
577	824	316
578	826	315
579	827	313
580	828	312
581	830	311
582	831	309
583	833	308
584	834	306
585	835	305
586	837	303
587	838	302
588	839	300
589	841	299
590	842	298
591	844	296
592	845	295
593	846	293
594	848	292
595	849	290
596	850	289
597	852	287
598	853	286
599	855	285
600	856	283
601	858	282
602	859	280
603	861	279
604	862	277
605	863	276
606	865	275
607	866	273
608	867	272
609	869	270
610	870	269
611	871	267
612	873	266
613	874	264
614	876	263
615	877	262
616	878	260
617	880	259
618	881	257
619	882	256
620	884	254
621	885	253
622	887	252
623	888	250
624	889	249
625	891	247
626	892	246
627	893	244
628	895	243
629	896	241
630	897	240
631	899	239
632	900	237
633	901	236
634	903	234
635	904	233
636	905	231
637	907	230
638	908	228
639	910	227
640	911	226
641	912	224
642	914	223
643	915	221
644	916	220
645	918	218
646	919	217
647	921	216
648	922	214
649	924	213
650	925	211
651	927	210
652	929	209
653	930	207
654	931	206
655	933	204
656	934	203
657	935	201
658	937	200
659	938	199
660	940	197
661	941	196
662	943	194
663	944	193
664	946	192
665	947	190
666	949	189
667	950	187
668	952	186
669	953	184
670	954	183
671	956	182
672	957	180
673	959	179
674	960	177
675	961	176
676	963	175
677	964	173
678	965	172
679	967	170
680	968	169
681	969	167
682	971	166
683	972	164
684	974	163
685	975	162
686	976	160
687	978	159
688	979	157
689	981	156
690	983	155
691	984	153
692	985	152
693	986	150
694	988	149
695	989	147
696	991	146
697	992	145
698	993	143
699	995	142
700	996	140
701	997	139
702	999	137
703	1000	136
704	1001	135
705	1003	133
706	1004	132
707	1006	130
708	1007	129
709	1008	127
710	1009	126
711	1011	124
712	1012	123
713	1013	122
714	1015	120
715	1016	119
716	1018	117
717	1019	116
718	1020	115
719	1022	113
720	1024	112
721	1026	110
722	1027	109
723	1029	108
724	1030	106
725	1032	105
726	1033	103
727	1034	102
728	1036	100
729	1037	99
730	1039	98
731	1040	96
732	1041	95
733	1043	93
734	1044	92
735	1045	90
736	1047	89
737	1049	88
738	1051	86
739	1052	85
740	1053	83
741	1055	82
742	1056	81
743	1058	79
744	1059	78
745	1060	76
746	1062	75
747	1063	73
748	1065	72
749	1066	71
750	1067	69
751	1069	68
752	1070	66
753	1071	65
754	1073	63
755	1074	62
756	1076	61
757	1077	59
758	1078	58
759	1080	56
760	1081	55
761	1082	54
762	1084	52
763	1085	51
764	1087	49
765	1088	48
766	1090	46
767	1091	45
768	1093	44
769	1094	42
770	1095	41
771	1097	39
772	1098	38
773	1099	36
774	1101	35
775	1103	34
776	1104	32
777	1106	31
778	1107	29
779	1108	28
780	1110	27
781	1111	25
782	1113	24
783	1114	22
784	1116	21
785	1117	19
786	1119	18
787	1120	17
788	1121	15
789	1123	14
790	1124	12
791	1126	11
792	1127	9
793	1129	8
794	1130	7
795	1131	5
796	1133	4
797	1134	2
798	1135	1
799	1137	0
