iter	R2	RMSE
0	0.01556711294	1.39387686
1	0.02723138163	1.385594425
2	0.04307533825	1.374264175
3	0.05633520869	1.364709539
4	0.06839324839	1.355962457
5	0.07479342649	1.351296669
6	0.08762587001	1.341892831
7	0.1011143888	1.331936639
8	0.1117343531	1.324045119
9	0.1210396859	1.317091615
10	0.1293943179	1.310817106
11	0.1406486738	1.302317053
12	0.1508404048	1.294571412
13	0.1584875685	1.288729054
14	0.1697938236	1.280042329
15	0.1814501546	1.271024485
16	0.1889372608	1.265198232
17	0.1992452369	1.257132681
18	0.2054546505	1.252249009
19	0.2150265449	1.244683226
20	0.2243568473	1.237263875
21	0.2352360149	1.228556306
22	0.2422812985	1.222884259
23	0.2516659421	1.215287713
24	0.2591096486	1.209228351
25	0.2669475403	1.202815121
26	0.2730366804	1.197809079
27	0.2783687731	1.193408181
28	0.2846389893	1.188212138
29	0.2912988173	1.182668229
30	0.2967158638	1.178139622
31	0.3036962296	1.172278297
32	0.3090492088	1.167763538
33	0.3138544299	1.163695844
34	0.3210732389	1.157558145
35	0.3271737534	1.152345775
36	0.3315707321	1.148574263
37	0.3379939243	1.143042397
38	0.3434540795	1.138318791
39	0.3482755573	1.134131352
40	0.3542127771	1.128953555
41	0.3605841156	1.123370621
42	0.3661575517	1.118464004
43	0.3715156813	1.113726554
44	0.3757770762	1.109944359
45	0.3810607074	1.105236906
46	0.3857521815	1.101040167
47	0.3908841398	1.096430998
48	0.3950319938	1.092691476
49	0.3994219479	1.088719697
50	0.403647671	1.084882769
51	0.4073086687	1.081547603
52	0.409871832	1.079206429
53	0.4134738506	1.075907763
54	0.4176987215	1.072025765
55	0.4204044423	1.069532228
56	0.4243823708	1.065855657
57	0.4275319838	1.062935631
58	0.430052745	1.060592825
59	0.4338461164	1.057057463
60	0.4362237006	1.054835552
61	0.4398087469	1.05147636
62	0.4437890599	1.047734187
63	0.4464524057	1.045222705
64	0.4481644577	1.043605083
65	0.451732387	1.040225863
66	0.4539044419	1.038163303
67	0.4583709711	1.033909005
68	0.4609935568	1.031402856
69	0.4637857246	1.028727945
70	0.4666276684	1.025998186
71	0.4713594658	1.021436991
72	0.4745596873	1.01834057
73	0.4762434722	1.016707614
74	0.4798686629	1.013182924
75	0.4825266098	1.010590852
76	0.4849595055	1.008212412
77	0.4887962921	1.00445006
78	0.4912328666	1.002053422
79	0.4936384697	0.9996816108
80	0.49526632	0.9980734298
81	0.4973340993	0.9960268915
82	0.4995389452	0.993840052
83	0.5017866768	0.9916057127
84	0.5049422901	0.9884603785
85	0.506758486	0.9866455525
86	0.5087936253	0.984607974
87	0.511534174	0.9818574596
88	0.5142156568	0.9791587477
89	0.5168601089	0.9764899997
90	0.518548869	0.9747819014
91	0.5214194402	0.9718715704
92	0.5234379569	0.9698198659
93	0.5252343989	0.9679902299
94	0.5271613721	0.9660237987
95	0.5295002185	0.9636316694
96	0.5309305497	0.9621658223
97	0.532280013	0.9607808007
98	0.5341769448	0.958830502
99	0.5347102545	0.9582814738
100	0.5364029448	0.9565368063
101	0.5377343991	0.9551622282
102	0.5393967731	0.9534432305
103	0.5414686866	0.9512963954
104	0.5432792344	0.9494164025
105	0.5450905085	0.9475319231
106	0.5462956349	0.9462760107
107	0.5484548735	0.9440215994
108	0.5499564917	0.9424506152
109	0.5523986969	0.9398899862
110	0.5538506579	0.9383643069
111	0.5548522706	0.9373103933
112	0.5564028453	0.9356765115
113	0.5572270112	0.9348069035
114	0.5581879042	0.9337920073
115	0.5599576337	0.9319199247
116	0.5614857695	0.9303003776
117	0.5638516822	0.9277873619
118	0.5663024754	0.9251769905
119	0.5683690225	0.9229701473
120	0.5699847629	0.9212410333
121	0.5704855016	0.9207044995
122	0.5721180192	0.9189531067
123	0.5735903301	0.9173707187
124	0.5745366003	0.9163522583
125	0.5757899563	0.9150015397
126	0.5775625838	0.9130878004
127	0.5785934428	0.9119730321
128	0.5803260919	0.9100962734
129	0.5817786541	0.9085199098
130	0.5840956133	0.9059998005
131	0.5858677512	0.9040675408
132	0.5868203186	0.9030271955
133	0.588514223	0.9011742332
134	0.5906227531	0.8988623751
135	0.5921150017	0.8972226275
136	0.5941134204	0.8950219728
137	0.5957773206	0.8931855526
138	0.5966401065	0.8922318215
139	0.5988518997	0.8897822163
140	0.59981483	0.888713642
141	0.6013424611	0.8870157721
142	0.6024490294	0.8857838556
143	0.6043973593	0.8836106515
144	0.6048146029	0.8831445548
145	0.6061226333	0.8816817764
146	0.6073398893	0.880318328
147	0.6086207916	0.8788813054
148	0.6094953771	0.8778987714
149	0.6113769919	0.8757811755
150	0.612260353	0.8747852603
