iter	Passed	Remaining
0	72	57786
1	79	31836
2	86	23029
3	96	19113
4	107	17025
5	115	15300
6	122	13873
7	128	12765
8	132	11648
9	134	10614
10	136	9770
11	137	9059
12	140	8502
13	142	8024
14	144	7575
15	146	7185
16	149	6897
17	151	6595
18	154	6350
19	157	6146
20	161	6002
21	167	5935
22	174	5884
23	179	5796
24	181	5618
25	183	5472
26	185	5320
27	188	5208
28	190	5062
29	192	4943
30	194	4822
31	196	4726
32	198	4617
33	200	4512
34	201	4414
35	204	4339
36	206	4251
37	207	4167
38	209	4087
39	211	4011
40	213	3957
41	215	3889
42	217	3822
43	219	3762
44	220	3705
45	222	3646
46	224	3590
47	225	3536
48	227	3485
49	228	3434
50	230	3385
51	232	3339
52	233	3294
53	235	3251
54	237	3210
55	238	3169
56	240	3130
57	241	3091
58	243	3053
59	244	3020
60	246	2986
61	248	2953
62	249	2923
63	251	2894
64	253	2869
65	255	2839
66	257	2812
67	258	2786
68	260	2761
69	262	2735
70	264	2712
71	266	2695
72	268	2670
73	270	2650
74	271	2626
75	273	2604
76	275	2582
77	276	2560
78	278	2542
79	280	2520
80	282	2506
81	284	2486
82	285	2466
83	287	2449
84	289	2431
85	290	2412
86	292	2394
87	293	2376
88	295	2359
89	296	2341
90	299	2330
91	300	2313
92	302	2296
93	303	2281
94	305	2265
95	306	2250
96	308	2235
97	310	2221
98	311	2207
99	313	2193
100	314	2179
101	316	2165
102	318	2152
103	319	2139
104	321	2125
105	322	2113
106	324	2101
107	326	2090
108	327	2078
109	329	2066
110	330	2054
111	332	2042
112	334	2031
113	335	2021
114	337	2009
115	338	1997
116	340	1986
117	341	1976
118	343	1965
119	345	1955
120	346	1945
121	348	1934
122	349	1925
123	351	1916
124	352	1906
125	354	1896
126	356	1886
127	357	1877
128	359	1867
129	360	1859
130	362	1850
131	364	1843
132	365	1835
133	367	1826
134	369	1820
135	371	1813
136	373	1805
137	375	1800
138	377	1793
139	379	1789
140	381	1783
141	384	1779
142	385	1772
143	387	1765
144	389	1758
145	391	1752
146	393	1747
147	395	1740
148	397	1736
149	399	1732
150	401	1726
151	404	1722
152	406	1718
153	408	1713
154	411	1711
155	414	1711
156	417	1708
157	422	1717
158	425	1716
159	427	1711
160	431	1712
161	434	1713
162	437	1711
163	441	1712
164	443	1707
165	446	1703
166	448	1699
167	451	1697
168	453	1693
169	455	1688
170	458	1685
171	460	1682
172	462	1677
173	464	1672
174	467	1669
175	470	1669
176	473	1667
177	478	1670
178	480	1667
179	485	1673
180	490	1676
181	494	1679
182	499	1685
183	504	1688
184	509	1693
185	513	1694
186	522	1712
187	527	1716
188	530	1715
189	535	1720
190	540	1721
191	544	1724
192	549	1729
193	552	1727
194	557	1730
195	562	1732
196	565	1731
197	570	1733
198	573	1733
199	578	1734
200	581	1733
201	585	1733
202	590	1736
203	594	1736
204	599	1740
205	603	1740
206	607	1741
207	611	1739
208	615	1739
209	618	1737
210	623	1739
211	627	1739
212	631	1740
213	637	1744
214	640	1742
215	643	1739
216	646	1736
217	652	1741
218	656	1741
219	659	1737
220	662	1736
221	665	1733
222	668	1730
223	671	1727
224	674	1723
225	677	1720
226	680	1718
227	683	1714
228	687	1713
229	689	1709
230	692	1706
231	696	1704
232	698	1700
233	702	1698
234	704	1694
235	708	1693
236	711	1690
237	714	1686
238	717	1683
239	720	1680
240	722	1676
241	725	1673
242	729	1671
243	731	1667
244	734	1664
245	738	1662
246	741	1659
247	744	1656
248	747	1653
249	750	1650
250	753	1648
251	756	1645
252	763	1650
253	766	1647
254	771	1648
255	774	1646
256	778	1643
257	781	1641
258	784	1639
259	788	1638
260	792	1636
261	795	1633
262	798	1630
263	802	1629
264	806	1627
265	808	1622
266	812	1621
267	815	1618
268	818	1615
269	821	1612
270	824	1610
271	828	1607
272	831	1604
273	835	1602
274	837	1599
275	841	1596
276	843	1593
277	845	1588
278	848	1584
279	852	1583
280	855	1580
281	859	1578
282	862	1575
283	865	1572
284	868	1569
285	871	1566
286	875	1564
287	878	1561
288	881	1557
289	885	1556
290	888	1553
291	891	1551
292	895	1549
293	898	1546
294	902	1544
295	905	1541
296	908	1539
297	912	1537
298	915	1533
299	917	1529
300	919	1523
301	920	1518
302	925	1518
303	927	1513
304	929	1508
305	931	1503
306	933	1498
307	934	1493
308	936	1488
309	939	1484
310	941	1479
311	943	1475
312	944	1470
313	947	1467
314	949	1462
315	951	1457
316	952	1451
317	954	1446
318	956	1442
319	958	1437
320	960	1432
321	961	1427
322	964	1424
323	966	1420
324	968	1414
325	969	1410
326	971	1405
327	974	1401
328	975	1397
329	977	1392
330	979	1387
331	981	1383
332	982	1378
333	984	1373
334	986	1368
335	987	1364
336	989	1359
337	991	1354
338	993	1350
339	995	1347
340	997	1343
341	1000	1339
342	1001	1334
343	1003	1330
344	1005	1326
345	1007	1322
346	1009	1317
347	1011	1313
348	1013	1309
349	1015	1305
350	1016	1300
351	1018	1296
352	1020	1291
353	1022	1288
354	1029	1290
355	1032	1288
356	1034	1283
357	1037	1280
358	1039	1276
359	1041	1272
360	1042	1268
361	1044	1263
362	1046	1259
363	1048	1255
364	1050	1252
365	1052	1248
366	1055	1245
367	1057	1241
368	1059	1237
369	1061	1233
370	1063	1229
371	1065	1225
372	1066	1220
373	1068	1216
374	1070	1213
375	1072	1209
376	1074	1205
377	1075	1201
378	1077	1197
379	1079	1193
380	1082	1190
381	1084	1186
382	1086	1182
383	1087	1178
384	1089	1174
385	1091	1170
386	1093	1167
387	1095	1163
388	1097	1159
389	1099	1155
390	1101	1151
391	1103	1148
392	1105	1144
393	1107	1141
394	1108	1136
395	1110	1133
396	1113	1130
397	1115	1127
398	1117	1123
399	1119	1119
400	1121	1115
401	1123	1112
402	1125	1109
403	1127	1105
404	1129	1101
405	1130	1097
406	1136	1097
407	1138	1093
408	1140	1090
409	1142	1086
410	1144	1083
411	1146	1079
412	1147	1075
413	1149	1071
414	1151	1068
415	1153	1064
416	1155	1061
417	1157	1057
418	1158	1053
419	1160	1050
420	1163	1046
421	1164	1043
422	1166	1039
423	1168	1036
424	1170	1032
425	1172	1029
426	1173	1025
427	1175	1021
428	1177	1018
429	1179	1014
430	1181	1011
431	1182	1007
432	1184	1004
433	1186	1000
434	1188	997
435	1189	993
436	1192	990
437	1194	986
438	1196	983
439	1197	980
440	1199	976
441	1201	973
442	1203	969
443	1205	966
444	1207	963
445	1209	959
446	1210	956
447	1212	952
448	1214	949
449	1216	945
450	1218	942
451	1220	939
452	1221	935
453	1223	932
454	1225	928
455	1227	926
456	1229	922
457	1231	919
458	1232	915
459	1234	912
460	1236	909
461	1238	906
462	1240	902
463	1241	899
464	1243	895
465	1245	892
466	1247	889
467	1249	886
468	1251	883
469	1253	880
470	1255	876
471	1257	873
472	1259	870
473	1261	867
474	1262	864
475	1264	860
476	1266	857
477	1268	854
478	1269	850
479	1271	847
480	1273	844
481	1274	840
482	1276	837
483	1277	834
484	1279	831
485	1281	827
486	1283	825
487	1285	821
488	1287	818
489	1288	815
490	1290	812
491	1292	808
492	1293	805
493	1295	802
494	1297	799
495	1299	796
