,0
ExactMolWt,1.055225903167201
MolWt,1.042532666866316
HeavyAtomMolWt,0.8618130913326842
Chi0,0.729220388045162
LabuteASA,0.7173660786103819
Chi1,0.6704848425023799
NumValenceElectrons,0.6681504057680225
HeavyAtomCount,0.6620977363042839
Chi0v,0.6309796205535174
Kappa1,0.6286946332421564
MolMR,0.5969577522761367
Chi0n,0.5945179712815669
Chi1v,0.5802598755036534
BCUT2D_CHGLO,0.5711760616460793
MinAbsPartialCharge,0.5709556254267434
MaxPartialCharge,0.5596299694701519
BCUT2D_MRLOW,0.5554020720914283
MaxAbsPartialCharge,0.5496283625021738
Kappa2,0.5393303598598305
BertzCT,0.5301701162992551
BCUT2D_LOGPLOW,0.5223049833106455
Chi1n,0.5204985573357854
EState_Delta,0.517962434641456
MinPartialCharge,0.5105029220813377
SPS,0.5052389065337506
Kappa3,0.4959784047350091
HallKierAlpha,0.49269368404168246
BCUT2D_MWLOW,0.48962257064741666
BCUT2D_CHGHI,0.4888255307630458
BCUT2D_MRHI,0.4878963392231972
AvgIpc,0.4842905265643864
BalabanJ,0.4763357874924017
MaxEStateIndex,0.46606946126846616
MaxAbsEStateIndex,0.465246324559176
SlogP_VSA6,0.4633693309528075
SlogP_VSA2,0.45828262525886565
SlogP_VSA5,0.45330489589186707
BCUT2D_LOGPHI,0.45322220548485204
VSA_EState2,0.4516326135680182
MinEStateIndex,0.444289216326232
EState_VSA9,0.4406172977431475
FractionCSP3,0.4404031184018766
MolWt_x_TPSA,0.43838310400581193
VSA_EState8,0.41879483207372514
Chi2v,0.4142208489395638
PEOE_VSA1,0.41374153003834735
SlogP_VSA1,0.4099107035780021
SMR_VSA6,0.4068759631154748
Chi3v,0.3994756210705117
SMR_VSA10,0.3980674825700281
SMR_VSA4,0.39497663359433854
FpDensityMorgan2,0.3920338930717544
Chi2n,0.39061088108139597
SMR_VSA7,0.3886136607508641
qed,0.3851894969965439
Chi3n,0.37555138962965495
VSA_EState5,0.373297976657633
EState_VSA3,0.3676037237776417
TPSA,0.364139799201316
SMR_VSA5,0.3623159755311165
SlogP_VSA3,0.3617888839139014
VSA_EState1,0.3607709615669963
SMR_VSA1,0.356101999894042
PEOE_VSA8,0.35469682815895265
VSA_EState7,0.3533350134390125
MolLogP,0.35139393222262205
EState_VSA8,0.3510531584569785
PEOE_VSA7,0.3465168298727317
Chi4v,0.3448101286527949
VSA_EState4,0.3411459373749701
RingCount,0.3384581429658371
SlogP_VSA4,0.33303514366492726
VSA_EState3,0.3265115519936934
FpDensityMorgan1,0.32574279451364907
PEOE_VSA6,0.3228589720334254
EState_VSA4,0.3187827199980746
Chi4n,0.31844693903040655
PEOE_VSA2,0.31792913714522486
EState_VSA2,0.3163322494165408
MolLogP_sq,0.3162124364272265
PEOE_VSA9,0.31277544635329946
NumHAcceptors,0.31053807301243097
FpDensityMorgan3,0.30770388623335787
BCUT2D_MWHI,0.3059890814433972
NumHeteroatoms,0.3041816926320817
NOCount,0.2947768667816115
EState_VSA10,0.29067980769000545
HAcceptors_to_HDonors_Ratio,0.27684010750448484
fr_bicyclic,0.2677795888516261
NumRotatableBonds,0.2661901363497221
VSA_EState6,0.2615995117871819
PEOE_VSA3,0.26126691853082606
NumAliphaticRings,0.25798542578864714
PEOE_VSA12,0.25710376835678783
PEOE_VSA11,0.24743992165306183
EState_VSA5,0.24702477125158095
NumAromaticRings,0.23696491790733942
SMR_VSA3,0.23490891035335437
fr_NH0,0.2286145296124884
NumAliphaticCarbocycles,0.2234204422947661
EState_VSA1,0.22274927789863064
SlogP_VSA10,0.22131084706115134
SlogP_VSA8,0.214259639154329
PEOE_VSA10,0.2039173067330693
MinAbsEStateIndex,0.1987702628571988
NumAliphaticHeterocycles,0.19724307590870582
fr_C_O,0.19524822191094038
EState_VSA6,0.19465441389681226
SMR_VSA9,0.19436210806957988
NHOHCount,0.19325545398395594
NumSaturatedRings,0.1899053238222126
fr_ether,0.1876800199129649
NumAromaticCarbocycles,0.18741417099967617
fr_benzene,0.18711666051558584
fr_C_O_noCOO,0.18670986448849436
PEOE_VSA14,0.18340694126311718
EState_VSA7,0.18026015961599917
SlogP_VSA11,0.1705052340855977
VSA_EState9,0.1656516543953146
NumHDonors,0.16049172026169023
NumSaturatedCarbocycles,0.15953783608195526
Ipc,0.14703758376092635
NumSaturatedHeterocycles,0.14225593618300514
NumAromaticHeterocycles,0.14126625993742636
fr_aniline,0.1360528933892684
fr_NH1,0.12728757780862465
fr_amide,0.12669887155333592
PEOE_VSA13,0.12510540375114032
PEOE_VSA4,0.12067351927377357
fr_Ar_N,0.11955741373186468
