,mutual_info
ExactMolWt,1.068330947676822
MolWt,1.0550585600180638
HeavyAtomMolWt,0.8826796631733784
Chi0,0.7510611123561115
LabuteASA,0.6955387005022411
Chi1,0.6554997352644274
HeavyAtomCount,0.6528257160031954
Chi0v,0.6427963656029494
NumValenceElectrons,0.6427407397370821
Kappa1,0.6237563972588931
Chi0n,0.5999559657687503
MolMR,0.5721258883078821
Chi1v,0.5591363386600752
MinAbsPartialCharge,0.5385028947436061
MaxAbsPartialCharge,0.5336724922370579
Kappa2,0.5296149325907518
MaxPartialCharge,0.5286867596578273
BCUT2D_MRLOW,0.527074109356445
BCUT2D_CHGLO,0.505630704668842
MinPartialCharge,0.5005632350334723
Chi1n,0.4938462484998172
BertzCT,0.4936011880070543
Kappa3,0.48908009025474897
BCUT2D_LOGPLOW,0.4878525331191028
EState_Delta,0.47224892738411706
SPS,0.47039152359149483
BCUT2D_MWLOW,0.4547351998992597
BCUT2D_CHGHI,0.4497562775831385
VSA_EState2,0.44932690078494497
BalabanJ,0.4417266331027423
AvgIpc,0.4403452168969393
HallKierAlpha,0.43935658111353026
SlogP_VSA5,0.43348114196972576
MaxAbsEStateIndex,0.43009240857014186
MaxEStateIndex,0.42965023251886336
BCUT2D_MRHI,0.42892981395602625
SlogP_VSA2,0.4282551688470182
MolWt_x_TPSA,0.4261393836443421
MinEStateIndex,0.4101121835168713
BCUT2D_LOGPHI,0.40826887947339463
VSA_EState8,0.40719809662444906
SlogP_VSA6,0.39985433966071593
Chi2v,0.39961883025857325
EState_VSA9,0.39789292127069453
Chi3v,0.38038955858480517
SMR_VSA10,0.376389874215167
Chi2n,0.3734327994041595
PEOE_VSA1,0.3732675387070903
FractionCSP3,0.3719699443023292
SMR_VSA6,0.3713291394744367
FpDensityMorgan2,0.3697565841304491
EState_VSA3,0.3696669130804269
SMR_VSA1,0.3687538709778777
SlogP_VSA1,0.36047795149176753
qed,0.36036155833956673
SMR_VSA5,0.3512605161612594
Chi3n,0.34581212571066233
SMR_VSA7,0.3450246446390399
EState_VSA8,0.3407806747693236
VSA_EState7,0.3401304748509424
PEOE_VSA8,0.33837400789627115
VSA_EState5,0.3370971835505383
SlogP_VSA3,0.3360166166610048
TPSA,0.3297261655308903
SMR_VSA4,0.32642846394515024
MolLogP_sq,0.3237880200176928
MolLogP,0.3233383746068341
VSA_EState1,0.31718688916115934
NumHeteroatoms,0.31686129025685483
Chi4v,0.3143738798825009
PEOE_VSA7,0.31185009035842626
RingCount,0.3091655956347057
VSA_EState4,0.3071945128366478
BCUT2D_MWHI,0.30375844114365025
PEOE_VSA2,0.3018868898005871
EState_VSA4,0.3010520243895125
SlogP_VSA4,0.2983380774902251
FpDensityMorgan1,0.2976801123266837
VSA_EState3,0.29447756314124307
NumHAcceptors,0.2906350818568839
FpDensityMorgan3,0.28802988646516203
NOCount,0.28764541782207154
PEOE_VSA6,0.2868767047204557
EState_VSA2,0.27792048522377266
PEOE_VSA9,0.2776285772715834
EState_VSA10,0.2752782234376281
Chi4n,0.2707659948073573
NumRotatableBonds,0.26780029786321347
HAcceptors_to_HDonors_Ratio,0.2475512184483799
PEOE_VSA11,0.24163040494933252
PEOE_VSA3,0.23933989139527734
VSA_EState6,0.23799690179013488
PEOE_VSA12,0.23261343012305846
fr_NH0,0.23135660666055724
SMR_VSA3,0.2291792608733063
SlogP_VSA10,0.22878247605211932
NumAromaticRings,0.22846611016189433
NumAliphaticRings,0.22412457116871343
fr_bicyclic,0.22341525936983242
EState_VSA5,0.2208219477408564
SlogP_VSA8,0.21998311296381767
SMR_VSA9,0.20082010053013333
PEOE_VSA14,0.19212697617791297
PEOE_VSA10,0.19154583369654876
EState_VSA1,0.19022561825536455
NumAliphaticHeterocycles,0.19007424700470787
fr_C_O_noCOO,0.17949903172483261
fr_C_O,0.17713376356325972
fr_ether,0.17685393687121564
SlogP_VSA11,0.17365893525904075
NumAliphaticCarbocycles,0.1710334964438749
EState_VSA6,0.16307578872202377
fr_benzene,0.16247322108194595
MinAbsEStateIndex,0.1619595214400622
NumAromaticCarbocycles,0.1617900615563448
NHOHCount,0.1615502910308888
NumSaturatedRings,0.16019120669287412
EState_VSA7,0.15635002739728465
VSA_EState9,0.15093465651722293
NumSaturatedHeterocycles,0.14839101028272617
fr_aniline,0.1453127131780798
NumHDonors,0.142153048850997
Ipc,0.1397019925870424
NumAromaticHeterocycles,0.13768035160123415
PEOE_VSA4,0.12914156433416246
fr_Ar_N,0.1211716374945846
SlogP_VSA12,0.12081743392532251
fr_NH1,0.1203604952338706
PEOE_VSA13,0.11697613123410888
NumSaturatedCarbocycles,0.11522155287125391
fr_ketone,0.11164301079136019
