,0
ExactMolWt,1.185149810664428
LogMolWt,1.178697252965467
MolWt,1.1769256002401782
HeavyAtomMolWt,0.9588999821924413
Chi0,0.839362399877813
LabuteASA,0.8307162091195002
Chi1,0.7920281290634739
NumValenceElectrons,0.7400355477771825
Kappa1,0.7338729741646848
Chi0v,0.7272133325676529
HeavyAtomCount,0.7020589032709017
MolMR,0.6949426517962332
Polarization,0.6766218647960707
Chi0n,0.6739390283697286
Chi1v,0.6650278091666593
MinAbsPartialCharge,0.6562970321808068
Kappa2,0.6512662464292602
MaxPartialCharge,0.650115535964146
BCUT2D_CHGLO,0.6495088928468329
ChargeAsymmetry,0.6493942730772035
BCUT2D_MRLOW,0.6321560710346521
BertzCT,0.6221447123080801
Chi1n,0.6213832240231003
Kappa3,0.6200743024541824
BCUT2D_LOGPLOW,0.6106867558328539
BCUT2D_MWLOW,0.6067530660000888
BCUT2D_MRHI,0.604815097558093
AvgIpc,0.6010383188546111
BCUT2D_CHGHI,0.5910995670403079
BalabanJ,0.5838921577552316
MaxEStateIndex,0.5781970047837302
MaxAbsEStateIndex,0.5728671056037737
BCUT2D_LOGPHI,0.5579527382503606
HallKierAlpha,0.5550669851008725
MinEStateIndex,0.5497899364465542
VSA_EState8,0.5321789995394393
VSA_EState2,0.5301117578678736
SlogP_VSA2,0.5301112930946466
SlogP_VSA5,0.5288786942294426
Chi2v,0.526649508434677
FpDensityMorgan2,0.5119932009202262
Chi3v,0.5116957919593474
TPSA_ratio,0.5023029796446008
Chi2n,0.4986767161257042
FractionCSP3,0.4913221540971411
Chi3n,0.4873756842052659
EState_VSA9,0.48442645093134784
VSA_EState5,0.47683100761998487
qed,0.4760069258659825
PEOE_VSA1,0.4746120847727986
SlogP_VSA6,0.4735820424464756
VSA_EState7,0.46820448650259383
SlogP_VSA1,0.46005546015542675
SMR_VSA4,0.4519943650882836
SMR_VSA5,0.4519493754285211
Chi4v,0.45158070351390434
VSA_EState4,0.45099100112156965
SMR_VSA6,0.44717087970929636
SMR_VSA10,0.44453510235448324
PEOE_VSA7,0.4388966171797928
MolLogP,0.4348278907276697
TPSA,0.4304212612296121
EState_VSA3,0.4295787698641762
FpDensityMorgan1,0.4255081862528738
EState_VSA8,0.4236934428146135
FpDensityMorgan3,0.4203773592127211
Chi4n,0.4202580358212593
SMR_VSA7,0.41488781246117856
PEOE_VSA8,0.40878277051805645
SMR_VSA1,0.40846984264433317
VSA_EState1,0.40792832990794103
SlogP_VSA3,0.4071050041640345
BCUT2D_MWHI,0.40573402797546043
SlogP_VSA4,0.3956745699519013
PEOE_VSA6,0.3946480683003979
EState_VSA2,0.3930100624455162
RingCount,0.383893968443175
PEOE_VSA9,0.37257150340844936
VSA_EState3,0.3695736791949731
EState_VSA4,0.3689681502131221
AromaticRingDensity,0.3673931976224667
NumHeteroatoms,0.35194860407653916
NOCount,0.34632899530692773
NumHAcceptors,0.3384435719811463
EState_VSA10,0.33763431256197274
PEOE_VSA2,0.3370069586905591
EState_VSA5,0.31811154546569975
NumRotatableBonds,0.3159929916228492
MinAbsEStateIndex,0.30352452433758037
VSA_EState6,0.3007741756502673
PEOE_VSA12,0.2903763464881115
NumAliphaticRings,0.28921619445423863
fr_bicyclic,0.2797531619094267
PEOE_VSA3,0.2794004150016174
SMR_VSA3,0.27296935565524194
EState_VSA1,0.27258158609133876
NumAliphaticCarbocycles,0.267206456542048
NumAromaticRings,0.2618734126575215
PEOE_VSA11,0.2577046541073442
fr_NH0,0.25319048872106675
NHOHCount,0.24582711864123308
EState_VSA6,0.24563202622378588
Ipc,0.2406807534301627
PEOE_VSA10,0.23672750302370504
NumSaturatedRings,0.22720641560300914
SlogP_VSA8,0.22629284314470643
SlogP_VSA10,0.2258298042769371
fr_C_O,0.21325708298794255
NumHDonors,0.21246196835101117
NumAliphaticHeterocycles,0.20760059118608565
SMR_VSA9,0.2063119587546045
fr_ether,0.20622333310902174
EState_VSA7,0.20362903214554118
VSA_EState9,0.20115471754535852
fr_C_O_noCOO,0.2006811574144971
fr_benzene,0.1998019711340948
PEOE_VSA14,0.19967230841606254
NumSaturatedCarbocycles,0.19741124537257204
NumAromaticCarbocycles,0.19715407677185137
SlogP_VSA11,0.1773182806879685
NumAromaticHeterocycles,0.15596841719183052
NumSaturatedHeterocycles,0.15273686813243992
fr_amide,0.14146317014675036
fr_aniline,0.13857293951848693
fr_NH1,0.13499777984764139
fr_Ar_N,0.1319659512395901
PEOE_VSA13,0.12889790949403324
PEOE_VSA4,0.12864535055124615
fr_NH2,0.12335954349133904
VSA_EState10,0.11552068274557259
SlogP_VSA12,0.11166193992342399
fr_ketone,0.10890635831820594
PEOE_VSA5,0.09803228461030034
fr_Al_OH,0.09672297507956507
fr_allylic_oxid,0.09610286778536037
fr_halogen,0.09257034380756468
fr_ketone_Topliss,0.08869463459490445
fr_methoxy,0.0857552497599019
fr_ester,0.08298556650064826
fr_morpholine,0.07230061807528032
fr_Ar_OH,0.07225530028685312
fr_thiazole,0.07189865053312272
fr_phenol,0.0694062007193188
fr_phenol_noOrthoHbond,0.0686077501635396
fr_lactone,0.06805346260475442
fr_Imine,0.06745208081695653
fr_Ndealkylation2,0.06509648201567986
fr_Al_COO,0.06389510777432328
fr_imidazole,0.06070620158143836
fr_Al_OH_noTert,0.06051781084306618
fr_Ndealkylation1,0.06034355556823745
fr_COO2,0.059309114089224124
fr_quatN,0.05830652140347303
fr_COO,0.05725880367100267
fr_alkyl_halide,0.054458165729098784
fr_hdrzone,0.05352759065978363
fr_C_S,0.04718361901220902
