,0
BCUT2D_LOGPHI,0.25475673921888875
BCUT2D_CHGLO,0.2445335939461124
SMR_VSA4,0.22740468171193617
BCUT2D_LOGPLOW,0.21759552571279928
BCUT2D_MRLOW,0.2127478995216543
BCUT2D_MWLOW,0.21028255525302342
AvgIpc,0.2065073474239263
SMR_VSA5,0.20050041158342724
SlogP_VSA5,0.20024369890644866
MaxPartialCharge,0.1979818580196313
BCUT2D_CHGHI,0.19713564141249584
ChargeAsymmetry,0.18883173922643293
MinAbsPartialCharge,0.18325557321902552
SlogP_VSA4,0.18292692258373267
SlogP_VSA2,0.18047459951058364
MaxEStateIndex,0.17637167845312618
MaxAbsEStateIndex,0.17453518453823813
FractionCSP3,0.17442071257676917
VSA_EState7,0.17414680013303752
FpDensityMorgan3,0.1736177929517866
VSA_EState8,0.16671557297075257
SlogP_VSA6,0.1646803027220587
BCUT2D_MRHI,0.16375613041289627
EState_VSA2,0.16210953030429565
VSA_EState4,0.1605855275117687
FpDensityMorgan2,0.158776265435304
TPSA_ratio,0.1538146526699049
Chi1n,0.15324272353430946
BCUT2D_MWHI,0.15232269099663487
BertzCT,0.15154132529355824
Kappa1,0.15041312316372224
Chi3n,0.15034445379854278
VSA_EState1,0.14951499545696034
MolLogP,0.14923047371536224
NumValenceElectrons,0.14891997820057545
MinAbsEStateIndex,0.148344892918296
EState_VSA9,0.14753703287455933
MinEStateIndex,0.1461730736838902
VSA_EState5,0.14539624733917123
Chi1v,0.14520142480460407
PEOE_VSA7,0.1443632751412527
Chi0,0.1434990803735836
Chi0n,0.1415347759846446
Chi0v,0.14142261915284227
PEOE_VSA1,0.13989939136620544
Chi1,0.13975055807041858
Kappa3,0.13940767084515038
PEOE_VSA2,0.13781893498246411
PEOE_VSA6,0.13609885946605438
AromaticRingDensity,0.13538071239692595
EState_VSA8,0.13246226963529217
LabuteASA,0.12968271541859133
qed,0.12582205930359835
NumAliphaticCarbocycles,0.12551228163976713
EState_VSA1,0.12548427269125373
EState_VSA3,0.12474565780192037
NumAliphaticRings,0.1241136635860185
HallKierAlpha,0.12262693208818343
VSA_EState2,0.12232130844436018
PEOE_VSA8,0.1193226737213684
SMR_VSA10,0.11907267679589317
BalabanJ,0.11877757248483167
Chi4v,0.11847944967360213
LogMolWt,0.11841849499749557
SMR_VSA1,0.11840937437497878
ExactMolWt,0.11793749134869724
Polarization,0.11657905075483033
MolWt,0.11440971700261482
Chi4n,0.11236877008642754
NumHeteroatoms,0.11230482788563911
Chi2v,0.1107175782037686
Chi3v,0.11068524149772774
Kappa2,0.10987990451650109
RingCount,0.1041266763105484
NumSaturatedCarbocycles,0.10406715286509272
PEOE_VSA9,0.10391414968062751
SMR_VSA7,0.10220751137969497
EState_VSA5,0.10101132775182498
SMR_VSA3,0.10065284370811467
MolMR,0.10035100997415558
EState_VSA6,0.09917894230134205
HeavyAtomMolWt,0.09862376994357636
fr_bicyclic,0.0980196897762835
NumRotatableBonds,0.09780934957135612
FpDensityMorgan1,0.09765387627353572
SlogP_VSA1,0.09743773431271752
Chi2n,0.0953390260981184
TPSA,0.09518205843130767
SMR_VSA6,0.09445155200312572
EState_VSA10,0.09190009475655492
PEOE_VSA10,0.08987543684253163
NumSaturatedHeterocycles,0.08933373675687895
EState_VSA4,0.08897624017381123
VSA_EState6,0.08720648498930039
SlogP_VSA3,0.08592251592066269
NumAromaticCarbocycles,0.08264978605234496
HeavyAtomCount,0.08204064924158061
PEOE_VSA11,0.08118089170592224
EState_VSA7,0.07865890112507268
PEOE_VSA12,0.0761312905354572
NumHAcceptors,0.07569241748003064
NOCount,0.07559957138141771
PEOE_VSA4,0.07298123486627306
PEOE_VSA14,0.07065948210790385
SlogP_VSA8,0.06885401587729856
fr_benzene,0.0676952154655095
NumAliphaticHeterocycles,0.06711978339019842
SlogP_VSA10,0.06618816564984797
NumAromaticRings,0.0640877116753944
VSA_EState3,0.062464338279249354
fr_NH2,0.0624099012728323
NHOHCount,0.06205185273022451
fr_C_O,0.059262011844460005
PEOE_VSA3,0.05792170798205021
fr_ether,0.05771318775002232
fr_halogen,0.054814216360500545
VSA_EState10,0.05323471073611774
NumHDonors,0.052973153090717595
fr_allylic_oxid,0.05075369269456176
SlogP_VSA12,0.04982405320841732
VSA_EState9,0.04943385545371903
SMR_VSA9,0.0487159804473003
NumSaturatedRings,0.04766421280505018
fr_Imine,0.046653487529920934
fr_NH0,0.04580744972548301
fr_C_O_noCOO,0.0431699558260914
Ipc,0.04275840320106328
NumAromaticHeterocycles,0.04176218629371187
PEOE_VSA5,0.03805758007469229
fr_ester,0.03541085109100006
fr_lactone,0.03472224519050138
PEOE_VSA13,0.03400779490231187
fr_para_hydroxylation,0.03329459465719453
SlogP_VSA11,0.03286338021205282
fr_COO2,0.03264146021467873
fr_Ar_N,0.032400645041396725
fr_ketone,0.030897963095712022
fr_amide,0.027986050675216534
fr_thiazole,0.027681735499490046
fr_sulfonamd,0.027524926737309663
fr_alkyl_halide,0.027093596028124
fr_pyridine,0.02685276252891544
fr_methoxy,0.026108251510587488
fr_phenol,0.024782429808028805
fr_Ndealkylation1,0.024555763890127924
fr_ketone_Topliss,0.021193493358548254
fr_sulfide,0.020442159928921733
fr_morpholine,0.020135967933814447
fr_thiophene,0.01891281049823368
fr_aryl_methyl,0.01720415844484391
fr_hdrzone,0.01638736633844906
SlogP_VSA7,0.0159606490848061
fr_aniline,0.01594583128799032
fr_Al_OH,0.012419454965832966
fr_Nhpyrrole,0.011697439695596001
fr_Al_OH_noTert,0.011050373572785155
