,mutual_info
MinAbsPartialCharge,0.12433129973096846
MaxPartialCharge,0.10525492108269296
MinPartialCharge,0.10400694620937712
BCUT2D_CHGLO,0.10332299543630552
BCUT2D_MWHI,0.10133723440950648
MaxAbsPartialCharge,0.0936029060867174
PEOE_VSA6,0.09351956796666805
SlogP_VSA2,0.08990073546177113
BCUT2D_MWLOW,0.08888023429251235
SPS,0.08829009851543157
BCUT2D_MRLOW,0.08711647396999234
BCUT2D_MRHI,0.08538354418386773
TPSA,0.08523235935917306
BCUT2D_LOGPLOW,0.08459971450203008
BCUT2D_CHGHI,0.08388292265402586
PEOE_VSA1,0.08334008489239308
Chi0,0.080854624832851
SMR_VSA5,0.08082335412652242
PEOE_VSA7,0.08047624647279639
VSA_EState8,0.07970459041030176
qed,0.07610205547909521
HallKierAlpha,0.07203302573174475
SlogP_VSA5,0.07143478300165751
FpDensityMorgan3,0.06961707817595708
BCUT2D_LOGPHI,0.06649809020942321
EState_VSA3,0.06556564528311659
PEOE_VSA8,0.06498728544626275
EState_VSA2,0.06093478595046786
VSA_EState9,0.06030094875013381
SMR_VSA7,0.0601253368371546
AvgIpc,0.05901929313278176
Chi1,0.058943316717272376
SlogP_VSA3,0.05790995708451341
EState_VSA4,0.05780795919401727
EState_VSA8,0.05695818296185018
VSA_EState3,0.056409557676604605
PEOE_VSA2,0.05618682363326499
PEOE_VSA9,0.05617428075558584
SMR_VSA4,0.05304148824536492
NumValenceElectrons,0.05148170876184377
MolLogP,0.050981880210323904
SMR_VSA1,0.050339997797326896
MinEStateIndex,0.050199581637201396
ExactMolWt,0.05018378201381157
Chi1n,0.04982540771198307
SlogP_VSA4,0.04972453137394184
EState_VSA1,0.0495581320484082
MolWt_x_TPSA,0.04879543884887827
EState_VSA6,0.04855947963415508
MolLogP_sq,0.04666289955594549
EState_Delta,0.04621946483985173
SMR_VSA6,0.04533354740102946
Chi0n,0.04512772094775941
Chi2n,0.04496568448479166
VSA_EState1,0.044617215997823534
fr_aniline,0.04400009761050816
MolMR,0.04326628145948064
Kappa1,0.043069187679523724
Kappa2,0.04295938724272852
fr_C_O,0.04256139139407655
VSA_EState2,0.04255835342930503
NumRotatableBonds,0.04206857216501625
EState_VSA10,0.040557452884432355
Chi3v,0.03989966381068144
PEOE_VSA10,0.039461689768002906
Kappa3,0.039367243980429345
VSA_EState7,0.038439577927291246
LabuteASA,0.038255775022021155
BalabanJ,0.03651817719064199
VSA_EState6,0.03596232276596445
HeavyAtomMolWt,0.035867435970864614
Chi1v,0.03569308474960842
SlogP_VSA6,0.03358055899784551
HeavyAtomCount,0.033573444870891755
SMR_VSA2,0.03341247821200777
fr_Ndealkylation2,0.03319370446670655
HAcceptors_to_HDonors_Ratio,0.03288121398220678
SlogP_VSA1,0.032308707660888336
FpDensityMorgan2,0.03229623355183975
EState_VSA7,0.031967281420581806
fr_ketone,0.031920685328233
SMR_VSA3,0.031577179333418304
fr_phenol,0.03155657436440129
fr_phenol_noOrthoHbond,0.03151084380028113
NumHDonors,0.031499754455919016
EState_VSA5,0.030787068127668293
NumHeteroatoms,0.03025506252019694
NumAromaticHeterocycles,0.029239225150305526
Chi3n,0.02918321929444967
fr_unbrch_alkane,0.02900688231475157
PEOE_VSA11,0.02896356372555231
NumHAcceptors,0.028122381890342663
MaxEStateIndex,0.027540933568317882
BertzCT,0.026776708509944402
MolWt,0.02673128899272248
Chi4n,0.02520503082591663
SlogP_VSA11,0.02503555474047392
EState_VSA9,0.02484028449724751
fr_ketone_Topliss,0.024475210687605387
Chi0v,0.024403085655091417
Chi4v,0.023897962590273325
SMR_VSA9,0.023712041184263732
FractionCSP3,0.022673049163275616
NumSaturatedHeterocycles,0.022517094165902307
fr_alkyl_halide,0.021815569069244756
fr_Imine,0.02062080106607378
fr_morpholine,0.020476222585022796
MaxAbsEStateIndex,0.02043230943860297
FpDensityMorgan1,0.019477390731123645
MinAbsEStateIndex,0.019291462990057573
fr_amidine,0.01830127154825112
fr_thiophene,0.018187020674252263
fr_NH0,0.017351273384275556
fr_bicyclic,0.017155218704941966
fr_hdrzine,0.01704282028762516
fr_oxime,0.015612460932261651
fr_ArN,0.015484186597463978
fr_ester,0.01490740449831951
fr_furan,0.014838002029269992
fr_ether,0.014789184006575917
VSA_EState5,0.014052919734278913
fr_sulfide,0.013341075016953807
Chi2v,0.013304552607288356
PEOE_VSA14,0.013296953545763213
fr_nitro_arom,0.01297251359621332
