,mutual_info
BCUT2D_LOGPHI,0.18855177205086981
BCUT2D_CHGLO,0.15574404806621
MaxAbsPartialCharge,0.1456903700897345
BCUT2D_MRLOW,0.1438347163849385
BCUT2D_MWLOW,0.14292442333748978
BCUT2D_LOGPLOW,0.13141554120495558
SMR_VSA4,0.12814220388258457
MaxPartialCharge,0.12562622132188173
SlogP_VSA4,0.12435520042448989
BCUT2D_MRHI,0.12383810833054909
MinPartialCharge,0.1179719913772117
FpDensityMorgan3,0.11579517705898912
BCUT2D_CHGHI,0.11576180566241101
MaxAbsEStateIndex,0.11452444552124508
MaxEStateIndex,0.11448227637541297
AvgIpc,0.1126177255469547
EState_Delta,0.10787178567026334
MinEStateIndex,0.10771993710862038
SMR_VSA5,0.10759859714652276
SlogP_VSA5,0.1065858196376257
SlogP_VSA6,0.10566630396545618
MinAbsEStateIndex,0.10410706639735023
VSA_EState1,0.10409633751337255
VSA_EState4,0.10129086236265472
NumAliphaticRings,0.10119487817869866
MinAbsPartialCharge,0.10009667121796717
Chi1n,0.0990018044234997
Chi3n,0.09524252992311988
NumAliphaticCarbocycles,0.09513251636336584
PEOE_VSA2,0.09503048910938627
VSA_EState7,0.09443581735047069
SlogP_VSA2,0.0940713344819839
SMR_VSA1,0.09362522264055873
Chi0n,0.09333190412622239
Chi1v,0.09254299825878709
VSA_EState5,0.09139257401408285
EState_VSA2,0.08820707914349857
EState_VSA8,0.08804219785507605
FpDensityMorgan2,0.08752261138217987
MolLogP,0.08573650245538023
VSA_EState8,0.08395791808162079
EState_VSA1,0.08370837079213134
BCUT2D_MWHI,0.08151776800548927
NumValenceElectrons,0.08074597199259559
EState_VSA10,0.08062557795737879
FractionCSP3,0.08008714015850504
EState_VSA3,0.07716486676135714
NumHeteroatoms,0.07641877348452786
Kappa1,0.07622435967681307
Kappa3,0.07603801304898727
PEOE_VSA9,0.07519770652354474
PEOE_VSA6,0.07497129494498367
PEOE_VSA1,0.07441854398403658
NumSaturatedCarbocycles,0.07359841039962811
SMR_VSA3,0.07155308883142375
NumRotatableBonds,0.07147085307288759
qed,0.0706976658470242
PEOE_VSA7,0.06881228759855151
EState_VSA9,0.06825117388284996
SlogP_VSA1,0.06824813540034613
LabuteASA,0.06818027471146726
NumSaturatedHeterocycles,0.06793514473121487
EState_VSA6,0.06785103421084138
BertzCT,0.06727854261492539
SMR_VSA6,0.06698269071226814
VSA_EState2,0.06670827363925547
PEOE_VSA8,0.06554513827043795
PEOE_VSA10,0.06464796695582509
Chi3v,0.06415012669391995
SlogP_VSA10,0.06210087971091571
NumSaturatedRings,0.05959095806974668
Chi1,0.0589083287162544
Chi0,0.057242736828772234
fr_halogen,0.05691128758093322
fr_bicyclic,0.056498284728897286
VSA_EState3,0.056335056930837624
PEOE_VSA4,0.055744478536744246
SMR_VSA10,0.055015999124670145
RingCount,0.054358766884478715
PEOE_VSA11,0.0543586909442304
PEOE_VSA12,0.05395794581845026
SlogP_VSA3,0.05384429439443528
Chi0v,0.052503617422930304
PEOE_VSA3,0.05195591981765535
MolLogP_sq,0.05029137382773374
HeavyAtomMolWt,0.04958828000382676
Chi2v,0.04918009709434257
EState_VSA7,0.04837118327523937
ExactMolWt,0.04815575167741759
VSA_EState9,0.048103172077714085
SPS,0.0474885210465823
fr_ether,0.047057648345739445
NumAliphaticHeterocycles,0.04670155835186929
PEOE_VSA14,0.04578787676278395
EState_VSA5,0.04564214615395645
Kappa2,0.044496288242839466
SlogP_VSA8,0.043616588214309804
MolWt,0.043543409334370065
EState_VSA4,0.043464716528097025
fr_NH0,0.042814985155452234
HallKierAlpha,0.042360017389059035
fr_para_hydroxylation,0.041865716270337305
HAcceptors_to_HDonors_Ratio,0.04138065012798409
HeavyAtomCount,0.03962915032035674
NOCount,0.03848208107200435
fr_methoxy,0.03827995468593026
NumHAcceptors,0.03757326818079676
fr_benzene,0.03676783352567181
Chi4v,0.036263659306682516
NumAromaticCarbocycles,0.03620085893784575
SMR_VSA7,0.035178420176920966
Chi4n,0.03388950006904601
PEOE_VSA13,0.03320957061414731
fr_allylic_oxid,0.033166105710317195
NumHDonors,0.03147771642466379
FpDensityMorgan1,0.0313350957205234
fr_thiazole,0.03094083812537085
fr_Imine,0.0307366743729105
fr_hdrzone,0.03073573306529398
Chi2n,0.03020707303886727
fr_quatN,0.029824260280675974
SMR_VSA9,0.02858658235181233
VSA_EState10,0.027676673557742504
SlogP_VSA11,0.027494419947146742
fr_Ndealkylation1,0.026630175018256708
fr_oxime,0.025097265420351844
SlogP_VSA12,0.023570896719074863
fr_unbrch_alkane,0.022066074442945727
NHOHCount,0.021551984261333867
