,mutual_info
BCUT2D_LOGPHI,0.18344856062962966
BCUT2D_CHGLO,0.15958872467188012
MaxAbsPartialCharge,0.15191644148338446
BCUT2D_MRLOW,0.1433321704576067
BCUT2D_MWLOW,0.13811292495904937
SMR_VSA4,0.13624282131454502
BCUT2D_LOGPLOW,0.13267527359724474
MaxPartialCharge,0.13175198148097023
BCUT2D_MRHI,0.1281900574134789
SlogP_VSA5,0.12180764081255768
MinPartialCharge,0.12060372039593759
SlogP_VSA4,0.11967112248735878
MaxEStateIndex,0.11788578517576687
FpDensityMorgan3,0.1174327870207712
MaxAbsEStateIndex,0.11741085014178099
SMR_VSA5,0.1168910234914482
AvgIpc,0.11289537854942377
BCUT2D_CHGHI,0.11176299927102651
MinAbsEStateIndex,0.10852677902267782
MinAbsPartialCharge,0.1062382501796062
EState_Delta,0.10612409406670187
PEOE_VSA2,0.10217280142877927
VSA_EState7,0.10128948430578877
MinEStateIndex,0.10110692360599494
SlogP_VSA6,0.09902643927460009
VSA_EState4,0.09774025495040473
SlogP_VSA2,0.09713760188123866
VSA_EState5,0.09610444305458721
SMR_VSA1,0.09602539495128237
Chi3n,0.09402705637209952
Chi1n,0.09377218867900972
VSA_EState1,0.0934120142492616
EState_VSA2,0.09297580760388469
Chi0n,0.09243126418729863
NumAliphaticRings,0.09121370290410669
FpDensityMorgan2,0.09038046388139298
VSA_EState8,0.09037808009271942
Chi1v,0.08797303247556254
BCUT2D_MWHI,0.087689781316858
EState_VSA8,0.08659765886594784
MolLogP,0.08368873899688811
EState_VSA1,0.08193231700770465
NumAliphaticCarbocycles,0.0807737613519457
NumHeteroatoms,0.08036609945626783
NumSaturatedHeterocycles,0.07732683178789701
fr_bicyclic,0.07702938118726754
FractionCSP3,0.0768677951112906
EState_VSA3,0.0765368453399855
PEOE_VSA6,0.07561222162319092
PEOE_VSA12,0.07549070417459713
PEOE_VSA1,0.07503957165573283
Kappa3,0.07476612762308532
NumSaturatedCarbocycles,0.07470887134217419
EState_VSA10,0.07425039348846374
qed,0.07255065965531404
SMR_VSA10,0.07246994411356189
PEOE_VSA10,0.0714749827312291
PEOE_VSA9,0.07093894929583389
Kappa1,0.07004382995471392
PEOE_VSA14,0.06999519938193055
EState_VSA9,0.069957425119898
EState_VSA6,0.0687968485533248
SMR_VSA6,0.06864174645885646
SMR_VSA3,0.06748676103462703
fr_para_hydroxylation,0.06726581743904525
LabuteASA,0.06724918770697519
NumValenceElectrons,0.06625072728365256
BertzCT,0.06420879301238758
PEOE_VSA8,0.06253818279263967
VSA_EState2,0.06231919818024689
SlogP_VSA1,0.0616331323180197
Chi3v,0.060727502334152916
VSA_EState3,0.06033945379529859
PEOE_VSA7,0.057808264763138606
Chi0,0.05694756028011927
EState_VSA7,0.056520833162787554
EState_VSA4,0.05577069578688487
VSA_EState9,0.05502093803095898
NumRotatableBonds,0.05308289017755019
Chi1,0.05260631697545337
MolLogP_sq,0.05226403121514123
SlogP_VSA10,0.05194461702472841
Chi0v,0.050992028237088594
fr_NH0,0.049382730346346104
Chi2v,0.048808647094778834
fr_ether,0.0486792181148048
PEOE_VSA4,0.04838248680906698
HeavyAtomMolWt,0.04827319904179861
PEOE_VSA3,0.04805863319606729
PEOE_VSA11,0.04729525996284156
SlogP_VSA3,0.04716413647113882
RingCount,0.04708738718887595
SlogP_VSA8,0.04665462255141639
SMR_VSA9,0.04607143066646824
ExactMolWt,0.0454683344493767
SPS,0.0448331662393775
fr_lactone,0.0444976214583197
fr_methoxy,0.0428677683040406
MolWt,0.04139006262818423
fr_halogen,0.041323503109576665
NHOHCount,0.04071443068445335
Kappa2,0.03931023795797195
NOCount,0.03597715761892406
PEOE_VSA13,0.03517257648182559
EState_VSA5,0.034892264757643066
FpDensityMorgan1,0.03485011717413533
HallKierAlpha,0.03468884021730467
Chi4v,0.034469024295948
NumAliphaticHeterocycles,0.03337918105500037
NumAromaticCarbocycles,0.033347446443173556
Chi4n,0.03256248651278826
fr_Imine,0.03018773595906632
NumAromaticRings,0.028964878093773017
PEOE_VSA5,0.028183653556191013
HAcceptors_to_HDonors_Ratio,0.027901612715823365
fr_NH2,0.027883713915634045
fr_amide,0.027432855575609816
fr_benzene,0.02692576289223947
SMR_VSA7,0.02686751669764087
NumSaturatedRings,0.025750128144654827
NumAromaticHeterocycles,0.025509601905875368
Chi2n,0.025252278131310923
NumHDonors,0.024750313478576036
SlogP_VSA11,0.02406689642244908
HeavyAtomCount,0.02301665848570167
fr_HOCCN,0.022864584808059307
VSA_EState10,0.02271977961152505
fr_Al_OH_noTert,0.021197818841582672
fr_allylic_oxid,0.02113916345183875
fr_imidazole,0.020687872731514956
